"Sejmik";"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Skrót nazwy komitetu";"Wiek";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy uzyskał mandat";"Województwo";"TERYT Województwa";"Płeć";"Liczba głosów ważnych oddanych w okręgu"
"Sejmik Województwa Dolnośląskiego";1;1;1;"KRZYŻANOWSKI Marcin Rafał";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";44;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;1;2;"CALIŃSKA-MAYER Małgorzata Maria";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";71;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Kobieta";
"Sejmik Województwa Dolnośląskiego";1;1;3;"DULSKA Irena";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";68;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Kobieta";
"Sejmik Województwa Dolnośląskiego";1;1;4;"JAREMKO Zbigniew";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";64;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;1;5;"ORZEŁ Maciej Władysław";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";70;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;1;6;"ŚWITAŁA Agnieszka Maria";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";49;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Kobieta";
"Sejmik Województwa Dolnośląskiego";1;1;7;"ROGALA Jan";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";72;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;1;8;"NOWAKOWSKI Leszek Zygmunt";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";60;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;1;9;"MICHALSKA Teresa Anna";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";70;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Kobieta";
"Sejmik Województwa Dolnośląskiego";1;1;10;"JAROCH Andrzej Stanisław";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";75;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;2;1;"LUDKOWSKI Piotr";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";39;"Tąpadła";"021905";"gm. Marcinowice";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;2;2;"KRÓL Tomasz";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";48;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;2;3;"KUTRZEBA Michał Tadeusz";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";46;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;2;4;"STASYSZYN Marcin Grzegorz";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";33;"Siedlce";"021504";"gm. Oława";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;2;5;"BRZEZIŃSKA Olga Anna";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";42;"Smolec";"022304";"gm. Kąty Wrocławskie";"";;;;;"dolnośląskie";"020000";"Kobieta";
"Sejmik Województwa Dolnośląskiego";1;2;6;"KRÓL Jakub";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";31;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Mężczyzna";
"Sejmik Województwa Dolnośląskiego";1;2;7;"ŁUC Marta Justyna";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";24;"Wrocław";"026401";"m. Wrocław";"";;;;;"dolnośląskie";"020000";"Kobieta";
