"Województwo";"Wybierany organ";"Numer okręgu";"Liczba mandatów";"Liczba list";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Siedziba TKW";"Opis granic";"TERYT Województwa";"Liczba wysłanych pakietów wyborczych"
"dolnośląskie";"Sejmik Województwa Dolnośląskiego";1;8;9;83;574522;469003;"Wrocław";"miasto: Wrocław";"020000";143
"dolnośląskie";"Sejmik Województwa Dolnośląskiego";2;8;9;84;631158;501581;"Wrocław";"powiaty: górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski, wrocławski";"020000";52
"dolnośląskie";"Sejmik Województwa Dolnośląskiego";3;8;9;80;574327;482109;"Wrocław";"miasto: Wałbrzych, powiaty: dzierżoniowski, kłodzki, świdnicki, wałbrzyski, ząbkowicki";"020000";107
"dolnośląskie";"Sejmik Województwa Dolnośląskiego";4;6;8;63;418873;349430;"Wrocław";"miasto: Jelenia Góra, powiaty: bolesławiecki, karkonoski, kamiennogórski, lubański, lwówecki, zgorzelecki";"020000";38
"dolnośląskie";"Sejmik Województwa Dolnośląskiego";5;6;8;63;460846;376482;"Wrocław";"miasto: Legnica, powiaty: głogowski, jaworski, legnicki, lubiński, polkowicki, złotoryjski";"020000";41
"kujawsko-pomorskie";"Sejmik Województwa Kujawsko-Pomorskiego";1;5;6;40;290752;243161;"Toruń";"Miasto Bydgoszcz";"040000";93
"kujawsko-pomorskie";"Sejmik Województwa Kujawsko-Pomorskiego";2;5;7;46;295746;233988;"Toruń";"Powiaty: bydgoski, sępoleński, świecki, tucholski";"040000";34
"kujawsko-pomorskie";"Sejmik Województwa Kujawsko-Pomorskiego";3;5;6;40;306290;247168;"Toruń";"Miasto Grudziądz, powiaty: brodnicki, golubsko-dobrzyński, grudziądzki, rypiński, wąbrzeski";"040000";67
"kujawsko-pomorskie";"Sejmik Województwa Kujawsko-Pomorskiego";4;5;7;46;326973;264306;"Toruń";"Miasto Toruń, powiaty: chełmiński, toruński";"040000";49
"kujawsko-pomorskie";"Sejmik Województwa Kujawsko-Pomorskiego";5;5;6;41;334288;272275;"Toruń";"Powiaty: inowrocławski, mogileński, nakielski, żniński";"040000";31
"kujawsko-pomorskie";"Sejmik Województwa Kujawsko-Pomorskiego";6;5;8;50;330126;271887;"Toruń";"Miasto Włocławek, powiaty: aleksandrowski, lipnowski, radziejowski, włocławski";"040000";32
"lubelskie";"Sejmik Województwa Lubelskiego";1;5;8;52;305046;250825;"Lublin";"Miasto na prawach powiatu Lublin";"060000";97
"lubelskie";"Sejmik Województwa Lubelskiego";2;10;9;91;592596;483042;"Lublin";"Powiaty: janowski, kraśnicki, lubartowski, lubelski, opolski, puławski, rycki";"060000";42
"lubelskie";"Sejmik Województwa Lubelskiego";3;6;8;56;353830;284580;"Lublin";"Powiaty: bialski, parczewski, radzyński, łukowski, miasto na prawach powiatu Biała Podlaska";"060000";45
"lubelskie";"Sejmik Województwa Lubelskiego";4;6;8;55;349303;287951;"Lublin";"Powiaty: chełmski, łęczyński, krasnostawski, świdnicki, włodawski, miasto na prawach powiatu Chełm";"060000";111
"lubelskie";"Sejmik Województwa Lubelskiego";5;6;8;60;395421;328982;"Lublin";"Powiaty: biłgorajski, hrubieszowski, zamojski, tomaszowski, miasto na prawach powiatu Zamość";"060000";33
"lubuskie";"Sejmik Województwa Lubuskiego";1;7;9;71;221646;180212;"Zielona Góra";"miasto Gorzów Wielkopolski; powiaty: strzelecko-drezdenecki, gorzowski";"080000";23
"lubuskie";"Sejmik Województwa Lubuskiego";2;6;7;51;181153;146502;"Zielona Góra";"powiaty: świebodziński, sulęciński, słubicki, międzyrzecki";"080000";70
"lubuskie";"Sejmik Województwa Lubuskiego";3;5;8;55;138461;113251;"Zielona Góra";"powiaty: żarski, krośnieński";"080000";39
"lubuskie";"Sejmik Województwa Lubuskiego";4;6;7;54;198524;161644;"Zielona Góra";"miasto Zielona Góra, powiat zielonogórski";"080000";30
"lubuskie";"Sejmik Województwa Lubuskiego";5;6;8;59;186726;152421;"Zielona Góra";"powiaty: wschowski, żagański, nowosolski";"080000";64
"łódzkie";"Sejmik Województwa Łódzkiego";1;8;9;76;580783;490162;"Łódź";"Łódź";"100000";165
"łódzkie";"Sejmik Województwa Łódzkiego";2;5;9;57;367113;302829;"Łódź";"powiat kutnowski, powiat łęczycki, powiat łowicki, powiat zgierski";"100000";51
"łódzkie";"Sejmik Województwa Łódzkiego";3;8;8;70;535344;438941;"Łódź";"powiat łaski, powiat pabianicki, powiat pajęczański, powiat poddębicki, powiat sieradzki, powiat wieluński, powiat wieruszowski, powiat zduńskowolski";"100000";51
"łódzkie";"Sejmik Województwa Łódzkiego";4;7;8;62;440648;358958;"Łódź";"Piotrków Trybunalski, powiat bełchatowski, powiat łódzki wschodni, powiat piotrkowski, powiat radomszczański";"100000";35
"łódzkie";"Sejmik Województwa Łódzkiego";5;5;10;63;339074;275252;"Łódź";"Skierniewice, powiat opoczyński, powiat rawski, powiat skierniewicki, powiat tomaszowski, powiat brzeziński";"100000";34
"małopolskie";"Sejmik Województwa Małopolskiego";1;5;8;52;408726;336801;"Kraków";"Powiaty: olkuski, chrzanowski, oświęcimski, miechowski";"120000";49
"małopolskie";"Sejmik Województwa Małopolskiego";2;6;8;58;457061;360008;"Kraków";"Powiaty: proszowicki, krakowski, wielicki";"120000";46
"małopolskie";"Sejmik Województwa Małopolskiego";3;8;9;75;709715;578600;"Kraków";"m. Kraków";"120000";179
"małopolskie";"Sejmik Województwa Małopolskiego";4;7;8;64;617457;489534;"Kraków";"Powiaty: wadowicki, myslenicki, suski, nowotarski, tatrzański";"120000";96
"małopolskie";"Sejmik Województwa Małopolskiego";5;7;8;60;550191;444139;"Kraków";"Powiaty: bocheński, brzeski, dąbrowski, tarnowski, m. Tarnów";"120000";135
