"Województwo";"Powiat";"Gmina";"Wybierany organ";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Siedziba TKW";"Opis granic";"TERYT Gminy";"Liczba wyborców w części B spisu wyborów";"Liczba wysłanych pakietów wyborczych"
"dolnośląskie";"bolesławiecki";"m. Bolesławiec";"Prezydent Miasta Bolesławiec";4;34308;28861;"Bolesławiec";"m. Bolesławiec";"020101";0;1
"dolnośląskie";"bolesławiecki";"gm. Bolesławiec";"Wójt Gminy Bolesławiec";2;14681;11572;"Bolesławiec";"gm. Bolesławiec";"020102";1;0
"dolnośląskie";"bolesławiecki";"gm. Gromadka";"Wójt Gminy Gromadka";2;5112;4155;"Gromadka";"gm. Gromadka";"020103";2;3
"dolnośląskie";"bolesławiecki";"gm. Nowogrodziec";"Burmistrz Nowogrodźca";3;14347;11425;"Nowogrodziec";"gm. Nowogrodziec";"020104";2;2
"dolnośląskie";"bolesławiecki";"gm. Osiecznica";"Wójt Gminy Osiecznica";3;6466;5232;"Osiecznica";"gm. Osiecznica";"020105";0;0
"dolnośląskie";"bolesławiecki";"gm. Warta Bolesławiecka";"Wójt Gminy Warta Bolesławiecka";3;8191;6529;"Warta Bolesławiecka";"gm. Warta Bolesławiecka";"020106";2;2
"dolnośląskie";"dzierżoniowski";"m. Bielawa";"Burmistrz Miasta Bielawa";5;26570;22484;"Bielawa";"m. Bielawa";"020201";0;4
"dolnośląskie";"dzierżoniowski";"m. Dzierżoniów";"Burmistrz Dzierżoniowa";3;28366;24113;"Dzierżoniów";"m. Dzierżoniów";"020202";0;6
"dolnośląskie";"dzierżoniowski";"gm. Pieszyce";"Burmistrz Miasta i Gminy Pieszyce";2;8549;7072;"Pieszyce";"gm. Pieszyce";"020203";2;0
"dolnośląskie";"dzierżoniowski";"m. Piława Górna";"Burmistrz Piławy Górnej";2;5672;4683;"Piława Górna";"m. Piława Górna";"020204";1;0
"dolnośląskie";"dzierżoniowski";"gm. Dzierżoniów";"Wójt Gminy Dzierżoniów";2;8757;7186;"Dzierżoniów";"gm. Dzierżoniów";"020205";0;2
"dolnośląskie";"dzierżoniowski";"gm. Łagiewniki";"Wójt Gminy Łagiewniki";2;7113;5791;"Łagiewniki";"gm. Łagiewniki";"020206";1;1
"dolnośląskie";"dzierżoniowski";"gm. Niemcza";"Burmistrz Miasta i Gminy Niemcza";3;4929;4138;"Niemcza";"gm. Niemcza";"020207";0;0
