"Urząd";"Numer na karcie do głosowania";"Nazwisko i imiona";"Nazwa komitetu";"Skrót nazwy komitetu";"Wiek";"Wykształcenie";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Poparcie";"Przynależność do partii";"Liczba głosów";"Procent głosów";"Czy uzyskał mandat";"Obszar";"TERYT";"Płeć";"Liczba głosów ważnych na wszystkich kandydatów"
"Prezydent Miasta Bolesławiec";1;"MOLAK Łukasz Zygmunt";"KOMITET WYBORCZY WYBORCÓW IMPULS LOKALNY";"KWW IMPULS LOKALNY";41;"wyższe";"Bolesławiec";"020101";"m. Bolesławiec";"";"nie należy do partii politycznej";;;;"m. Bolesławiec";"020101";"Mężczyzna";
"Prezydent Miasta Bolesławiec";2;"PRZYBYLSKI Grzegorz Jacek";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";41;"wyższe";"Bolesławiec";"020101";"m. Bolesławiec";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"m. Bolesławiec";"020101";"Mężczyzna";
"Prezydent Miasta Bolesławiec";3;"ROMAN Piotr";"KOMITET WYBORCZY WYBORCÓW PIOTRA ROMANA FORUM MIASTA";"KWW PIOTRA ROMANA FORUM MIASTA";61;"wyższe";"Bolesławiec";"020101";"m. Bolesławiec";"";"nie należy do partii politycznej";;;;"m. Bolesławiec";"020101";"Mężczyzna";
"Prezydent Miasta Bolesławiec";4;"SARBAK Dawid Łukasz";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";31;"wyższe";"Bolesławiec";"020101";"m. Bolesławiec";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"m. Bolesławiec";"020101";"Mężczyzna";
"Wójt Gminy Bolesławiec";1;"JANIEC Andrzej";"KOMITET WYBORCZY WYBORCÓW - ANDRZEJ JANIEC PO STRONIE MIESZKAŃCÓW";"KWW - ANDRZEJ JANIEC PO STRONIE MIESZKAŃCÓW";32;"wyższe";"Lipiany";"020102";"gm. Bolesławiec";"";"nie należy do partii politycznej";;;;"gm. Bolesławiec";"020102";"Mężczyzna";
"Wójt Gminy Bolesławiec";2;"JAWORSKI Roman Paweł";"KOMITET WYBORCZY WYBORCÓW ROMANA JAWORSKIEGO";"KWW ROMANA JAWORSKIEGO";49;"wyższe";"Kruszyn";"020102";"gm. Bolesławiec";"";"nie należy do partii politycznej";;;;"gm. Bolesławiec";"020102";"Mężczyzna";
"Wójt Gminy Gromadka";1;"KAWKA Ryszard Jan";"KOMITET WYBORCZY WYBORCÓW RYSZARDA KAWKI";"KWW RYSZARDA KAWKI";64;"wyższe";"Różyniec";"020103";"gm. Gromadka";"";"nie należy do partii politycznej";;;;"gm. Gromadka";"020103";"Mężczyzna";
"Wójt Gminy Gromadka";2;"KRÓL Krzysztof Henryk";"KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA KRÓLA";"KWW KRZYSZTOFA KRÓLA";48;"wyższe";"Nowa Kuźnia";"020103";"gm. Gromadka";"";"nie należy do partii politycznej";;;;"gm. Gromadka";"020103";"Mężczyzna";
"Burmistrz Nowogrodźca";1;"GÓRA Krystian Bogdan";"KOMITET WYBORCZY WYBORCÓW KRYSTIAN GÓRA";"KWW KRYSTIAN GÓRA";49;"średnie";"Milików";"020104";"gm. Nowogrodziec";"";"nie należy do partii politycznej";;;;"gm. Nowogrodziec";"020104";"Mężczyzna";
"Burmistrz Nowogrodźca";2;"RELICH Robert Marek";"KOMITET WYBORCZY WYBORCÓW WSPÓŁPRACA I DOŚWIADCZENIE";"KWW WSPÓŁPRACA I DOŚWIADCZENIE";54;"wyższe";"Gierałtów";"020104";"gm. Nowogrodziec";"";"nie należy do partii politycznej";;;;"gm. Nowogrodziec";"020104";"Mężczyzna";
"Burmistrz Nowogrodźca";3;"ŚWIDER Joanna";"KOMITET WYBORCZY WYBORCÓW JOANNY ŚWIDER";"KWW JOANNY ŚWIDER";56;"wyższe";"Nowogrodziec";"020104";"gm. Nowogrodziec";"";"nie należy do partii politycznej";;;;"gm. Nowogrodziec";"020104";"Kobieta";
