"Województwo";"Powiat";"Wybierany organ";"Numer okręgu";"Liczba mandatów";"Liczba list";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Siedziba TKW";"Opis granic";"TERYT Powiatu";"Liczba wysłanych pakietów wyborczych"
"dolnośląskie";"bolesławiecki";"Rada Powiatu Bolesławieckiego";1;9;8;82;34308;28861;"Bolesławiec";"Gmina Miejska Bolesławiec";"020100";1
"dolnośląskie";"bolesławiecki";"Rada Powiatu Bolesławieckiego";2;5;7;47;20813;16657;"Bolesławiec";"Gmina i Miasto Nowogrodziec; Gmina Osiecznica";"020100";2
"dolnośląskie";"bolesławiecki";"Rada Powiatu Bolesławieckiego";3;4;6;35;14681;11572;"Bolesławiec";"Gmina Bolesławiec";"020100";0
"dolnośląskie";"bolesławiecki";"Rada Powiatu Bolesławieckiego";4;3;7;33;13303;10684;"Bolesławiec";"Gmina Gromadka; Gmina Warta Bolesławiecka";"020100";5
"dolnośląskie";"dzierżoniowski";"Rada Powiatu Dzierżoniowskiego";1;6;7;52;26570;22484;"Dzierżoniów";"miasto Bielawa";"020200";4
"dolnośląskie";"dzierżoniowski";"Rada Powiatu Dzierżoniowskiego";2;7;7;57;28366;24113;"Dzierżoniów";"miasto Dzierżoniów";"020200";6
"dolnośląskie";"dzierżoniowski";"Rada Powiatu Dzierżoniowskiego";3;4;7;39;17306;14258;"Dzierżoniów";"gmina Pieszyce, gmina Dzierżoniów";"020200";2
"dolnośląskie";"dzierżoniowski";"Rada Powiatu Dzierżoniowskiego";4;4;7;39;17714;14612;"Dzierżoniów";"miasto Piława Górna, gmina Łagiewniki, gmina Niemcza";"020200";1
"dolnośląskie";"głogowski";"Rada Powiatu Głogowskiego";1;4;5;28;13707;11690;"Głogów";"10 Maja, Adama Asnyka, Boczna, Bolesława Prusa, Brzozowa, Budowlanych, Cypriana Kamila Norwida, Elizy Orzeszkowej, Fryderyka Chopina, Generała Józefa Sowińskiego, Gimnastyczna, Gustawa Morcinka od 1 do 87 (nieparzyste); Henryka Sienkiewicza od 1 do 1E, 3, 7, 13; Herkulesa, Ireny Sendlerowej, Jana Cybisa, Jana Długosza, Jana Kochanowskiego, Jędrzeja i Jana Śniadeckich od 11 do 19; Józefa Lompy, Józefa Wybickiego, Juliusza Kossaka, Karola Szymanowskiego, Legnicka, Letnia, Listopadowa, Lotników, Łukowa, Marcowa, Marii Konopnickiej, Merkurego, Mieczysława Niedziałkowskiego, Mikołaja Gomółki, Mikołaja Reja, Morelowa, Narciarska, Nowa, Obrońców Pokoju od 13 do 15D (nieparzyste), od 23 do 29 (nieparzyste), od 24 do 56 (parzyste); Olimpijska, Orbitalna 29, 31, od 43 do 89 (nieparzyste), 60, 66, 68, 70; Orzechowa, Plac Prymasa Polski Stefana Wyszyńskiego, Pogodna, Polna, Połaniecka, Różana, Samotna, Saturna, Słoneczna, Spadochroniarzy, Spadzista, Sportowa, Stanisława Moniuszki, Stanisława Wyspiańskiego, Stefana Żeromskiego, Styczniowa, Tadeusza Kościuszki, Tenisowa, Wąska, Wincentego Kadłubka, Wiosenna, Wioślarska, Wiśniowa, Wita Stwosza od 2 do 14; Wojska Polskiego od 11 do 27 (nieparzyste), 58; Zbigniewa Herberta, Żeglarska, Żwirki i Wigury";"020300";0
"dolnośląskie";"głogowski";"Rada Powiatu Głogowskiego";2;4;5;27;16702;13958;"Głogów";"1 Maja, Adama Mickiewicza, Aleja Wolności, Armii Krajowej, Balwierska, Bartosza Głowackiego, Bernardyńska, bł. Luigiego Novarese, Bolesława Krzywoustego, Brama Brzostowska, Browarna, Cicha, Długa, Dobra, Działkowa, Dzieci Głogowskich, Elektryczna, Franciszkańska, Gabriela Narutowicza, Garncarska, Generała Józefa Bema, Generała Tadeusza Rozwadowskiego, Generała Władysława Sikorskiego, Gołębia, Grodzisko, Grodzka, Grunwaldzka, Gustawa Morcinka od 2 do 18H (parzyste); Henryka Sienkiewicza od 2 do 18 (parzyste); Hugona Kołłątaja, Ignacego Daszyńskiego, Ignacego Paderewskiego, Jana Matejki, Jedności Robotniczej, Jędrzeja i Jana Śniadeckich od 3 do 10; Juliusza Słowackiego, Kamienna Droga, Karola Miarki, Klarysek, Komunalna, Konstytucji 3 Maja, Koszarowa, Kotlarska, Krochmalna, Kuźnicza, Kwiatowa, Łąkowa, Łużycka, Magazynowa, Mała, Marii Skłodowskiej – Curie, Młyńska, Nadbrzeżna, Nadodrzańska, Obozowa, Obrońców Pokoju od 1 do 11B (nieparzyste), od 6 do 20H (parzyste); Parafialna, Piaskowa, Piastowska, Piekarska, Piotra Skargi, Plac 1000-lecia, Plac Jana z Głogowa, Plac Kolegiacki, Plac Solny, Poczdamska, Polska, Południowa, Powstańców, Północna, Przemysłowa, Rynek, Rzeźnicza, Słodowa, Słowiańska, Smolna, Spichrzowa, Spokojna, Spółdzielcza, Stanisława Kutrzeby, Stanisława Staszica, Staromiejska, Starowałowa, Stawna, Strefowa, Strumykowa, Strzelecka, Sybiraków, Szewska, Świętego Mikołaja, Świętojańska, Topolowa, Wały Bolesława Chrobrego, Wierzbowa, Wincentego Witosa, Wojska Polskiego od 1 do 9 (nieparzyste); Wróblin Głogowski, Zamkowa, Złota, Żukowicka";"020300";2
"dolnośląskie";"głogowski";"Rada Powiatu Głogowskiego";3;4;5;26;14243;11288;"Głogów";"Akacjowa, Bolesława Śmiałego, Bolesława Wysokiego, Budziszyńska, Cukrownicza, Cyprysowa, Dobrawy, Dolna, Dziadoszan, Ester Golan, Folwarczna, Galla Anonima, gen. Fieldorfa ”Nila”, gen. Komorowskiego ”Bora”, gen. Okulickiego ”Niedźwiadka”, gen. Roweckiego ”Grota”, Geodezyjna, Gnieźnieńska, Henryka Brodatego, Henryka Głogowskiego, Henryka Pobożnego, Henryka V Żelaznego, Herbowa, Jana Karskiego, Jana Nowaka Jeziorańskiego, Jagiellońska, Karmelkowa, Kaspra Eliana, Kasztelańska, Kazimierza Sprawiedliwego, Kazimierza Wielkiego, Klonowa, Kolejowa, Konrada I, Końcowa, Kościelna, Kowalska, Krawiecka, Kresowa, Królewska, Królowej Jadwigi, Krótka, Książąt Cieszyńskich, Książąt Oleśnickich, Książąt Ścinawskich, Książąt Żagańskich, Księcia Jana II, Księżnej Mechtyldy, Leszka Białego, Małgorzaty Cylejskiej, Mechaniczna, Miodowa, Mleczarska, Nankera, Na Uroczysku, Olchowa, Osadników, Piasta Kołodzieja, Plac Mieszka I, płk. Witolda Pileckiego, Portowa, Probusa, Pszczelarska, Przemysława Głogowskiego, Rudnowska, Rycerska, Rzemieślnicza, Salomei, Słodka, Słonecznikowa, Stara, Stoczniowa, Szczyglicka, Ślusarska, Świętej Jadwigi Śląskiej, Świętosławy, Transportowa, Ułanów Polskich, Ustronna, Wawelska, Wincentego Pola, Wita Stwosza od 15 do 36; Władysława Łokietka, Wodna, Wspólna, Zielona, Ziemowita, Złota Podkowa, Żarkowska";"020300";0
"dolnośląskie";"głogowski";"Rada Powiatu Głogowskiego";4;3;5;24;13640;11579;"Głogów";"Andromedy, Brzeska, Bukowa, Cedrowa, Dębowa, Galileusza, Generała Stanisława Maczka, Generała Stanisława Skalskiego, Generała Witolda Urbanowicza, Generała Władysława Andersa, Grodzieńska, Gwiaździsta, Jałowcowa, Jesienna, Jodłowa, Kasztanowa, Keplera, Kosmonautów Polskich, Krzemieniecka, Lipowa, Lwowska, Łucka, Malinowa, Marszałka Józefa Piłsudskiego, Modrzewiowa, Neptuna, Nowogródzka, Ogrodowa, Okrężna, Orbitalna od 1 do 27 (nieparzyste), od 33 do 41 (nieparzyste); Oriona, Paulinów, Perseusza, Plutona, Samborska, Sosnowa, Stanisławowska, Świerkowa, Tarnopolska, Wileńska, Wojska Polskiego od 4 do 38 (parzyste), od 31 do 35 (nieparzyste)";"020300";0
"dolnośląskie";"głogowski";"Rada Powiatu Głogowskiego";5;6;5;35;22459;17589;"Głogów";"Gminy: Głogów, Jerzmanowa, Kotla, Pęcław, Żukowice.";"020300";0
"dolnośląskie";"górowski";"Rada Powiatu Górowskiego";1;8;10;89;18011;14793;"Góra";"Miasto i Gmina Góra";"020400";0
"dolnośląskie";"górowski";"Rada Powiatu Górowskiego";2;3;5;21;6829;5538;"Góra";"Miasto i Gmina Wąsosz";"020400";0
"dolnośląskie";"górowski";"Rada Powiatu Górowskiego";3;4;7;34;7305;5927;"Góra";"Gmina Jemielno, Gmina Niechlów";"020400";0
"dolnośląskie";"jaworski";"Rada Powiatu Jaworskiego";1;7;5;45;20052;16948;"Jawor";"Gmina Jawor";"020500";4
"dolnośląskie";"jaworski";"Rada Powiatu Jaworskiego";2;4;4;23;9561;7885;"Jawor";"Gmina Bolków";"020500";2
"dolnośląskie";"jaworski";"Rada Powiatu Jaworskiego";3;6;4;32;16761;13422;"Jawor";"Gmina Męcinka, Gmina Mściwojów, Gmina Paszowice, Gmina Wądroże Wielkie";"020500";1
"dolnośląskie";"karkonoski";"Rada Powiatu Karkonoskiego";1;3;5;24;11814;9933;"Jelenia Góra";"Gmina Karpacz, Gmina Podgórzyn";"020600";2
"dolnośląskie";"karkonoski";"Rada Powiatu Karkonoskiego";2;3;5;21;9145;7858;"Jelenia Góra";"Gmina Miejska Kowary";"020600";4
"dolnośląskie";"karkonoski";"Rada Powiatu Karkonoskiego";3;3;5;25;10753;9189;"Jelenia Góra";"Gmina Miejska Piechowice, Miasto Szklarska Poręba";"020600";0
"dolnośląskie";"karkonoski";"Rada Powiatu Karkonoskiego";4;4;5;27;13307;11034;"Jelenia Góra";"Gmina Janowice Wielkie, Gmina Mysłakowice";"020600";0
"dolnośląskie";"karkonoski";"Rada Powiatu Karkonoskiego";5;4;5;29;12515;10172;"Jelenia Góra";"Gmina Jeżów Sudecki, Gmina Stara Kamienica";"020600";0
"dolnośląskie";"kamiennogórski";"Rada Powiatu Kamiennogórskiego";1;6;6;40;16304;14082;"Kamienna Góra";"Gmina Miejska Kamienna Góra";"020700";2
"dolnośląskie";"kamiennogórski";"Rada Powiatu Kamiennogórskiego";2;5;6;39;12792;10270;"Kamienna Góra";"Gmina Kamienna Góra, Gmina Marciszów";"020700";0
"dolnośląskie";"kamiennogórski";"Rada Powiatu Kamiennogórskiego";3;4;6;32;10008;8386;"Kamienna Góra";"Gmina Lubawka";"020700";0
"dolnośląskie";"kłodzki";"Rada Powiatu Kłodzkiego";1;4;5;28;23100;20008;"Kłodzko";"miasto Kłodzko";"020800";3
"dolnośląskie";"kłodzki";"Rada Powiatu Kłodzkiego";2;4;5;27;23721;19763;"Kłodzko";"gmina Bystrzyca Kłodzka, gmina Międzylesie";"020800";3
"dolnośląskie";"kłodzki";"Rada Powiatu Kłodzkiego";3;4;5;28;18982;15618;"Kłodzko";"gmina Nowa Ruda, gmina Radków";"020800";1
"dolnośląskie";"kłodzki";"Rada Powiatu Kłodzkiego";4;4;4;23;19306;16483;"Kłodzko";"miasto Nowa Ruda";"020800";1
"dolnośląskie";"kłodzki";"Rada Powiatu Kłodzkiego";5;4;5;29;21827;18084;"Kłodzko";"gmina Kłodzko, miasto Polanica-Zdrój";"020800";3
"dolnośląskie";"kłodzki";"Rada Powiatu Kłodzkiego";6;4;5;29;21332;17901;"Kłodzko";"miasto Duszniki-Zdrój, miasto Kudowa-Zdrój, gmina Szczytna, gmina Lewin Kłodzki";"020800";0
"dolnośląskie";"kłodzki";"Rada Powiatu Kłodzkiego";7;3;5;25;13804;11792;"Kłodzko";"gmina Lądek-Zdrój, gmina Stronie Śląskie";"020800";15
"dolnośląskie";"legnicki";"Rada Powiatu Legnickiego";1;4;4;24;11823;9723;"Legnica";"gmina o statusie miasta Chojnów";"020900";0
"dolnośląskie";"legnicki";"Rada Powiatu Legnickiego";2;3;4;20;9026;7281;"Legnica";"gmina Chojnów";"020900";1
"dolnośląskie";"legnicki";"Rada Powiatu Legnickiego";3;3;4;20;10141;8080;"Legnica";"gmina Krotoszyce i gmina Miłkowice";"020900";0
"dolnośląskie";"legnicki";"Rada Powiatu Legnickiego";4;4;4;23;12619;9677;"Legnica";"gmina Kunice i gmina Legnickie Pole";"020900";2
"dolnośląskie";"legnicki";"Rada Powiatu Legnickiego";5;3;4;17;9387;7606;"Legnica";"gmina Prochowice i gmina Ruja";"020900";0
"dolnośląskie";"lubański";"Rada Powiatu Lubańskiego";1;5;5;34;14154;11713;"Lubań";"Gmina Miejska Świeradów-Zdrój, Gmina Leśna, Gmina Platerówka";"021000";0
"dolnośląskie";"lubański";"Rada Powiatu Lubańskiego";2;6;5;36;16676;13846;"Lubań";"Gmina Lubań, Gmina Olszyna, Gmina Siekierczyn";"021000";7
"dolnośląskie";"lubański";"Rada Powiatu Lubańskiego";3;6;5;38;18398;15603;"Lubań";"Gmina Miejska Lubań";"021000";0
"dolnośląskie";"lubiński";"Rada Powiatu Lubińskiego";1;3;3;15;13320;11314;"Lubin";"LUBIN: Armii Krajowej, Aleja Niepodległości, Bankowa, Władysława Broniewskiego, Cedyńska, Cmentarna, Kazimierza Deyny, Michała Drzymały, Feliksa Stamma, Gen. Józefa Bema, Kazimierza Górskiego, Jana Bilińskiego, Jerzego Kuleja, Kaletnicza, Kazimierza Wielkiego, Jana Kilińskiego, Władysława Komara, Haliny Konopackiej, Konstytucji 3-go Maja, Tadeusza Kościuszki, Ignacego Krasickiego, Krótka, Księcia Ludwika I, Księginicka, Janusza Kusocińskiego, Lotników, Ignacego Łukasiewicza, Makowa, Bronisława Malinowskiego, Małomicka, Adama Mickiewicza, Miroszowicka, Ignacego Paderewskiego od 2 do 74, Perłowa, Zbigniewa Pietrzykowskiego, Rzemieślnicza, Rzeźnicza, Składowa, Marii Skłodowskiej-Curie od 1 do 35, Kamili Skolimowskiej, Słoneczna, Słowiańska, Spacerowa, Spółdzielcza, Stanisława Staszica, Szkolna, Ścinawska, Tadeusza Ślusarskiego, Śląska, Tulipanowa, Tysiąclecia od 2 do 3, Tysiąclecia od 5 do końca numery nieparzyste, Willowa, Żwirki i Wigury, Zielona";"021100";0
"dolnośląskie";"lubiński";"Rada Powiatu Lubińskiego";2;3;3;15;13642;11526;"Lubin";"LUBIN: 1 Maja, II Brygady Legionów, Baczynowa, Baligrodzka, Bieszczadzka, Bolesława Chrobrego, Budziszyńska, Chocianowska, Generała Władysława Sikorskiego, Grodzka, Jastrzębia, Karkonoska, Hugo Kołłątaja, Mikołaja Kopernika, Aleja Komisji Edukacji Narodowej, Kolejowa, Jerzego Kukuczki, Legnicka, Leśna od 1 do 13 numery nieparzyste, Łużycka, Mieszka I, Odrodzenia, Stefana Okrzei, Orla, Ignacego Paderewskiego od 90A do końca, Pawia, Piastowska, Prymasa Polski Stefana Wyszyńskiego, Bolesława Prusa, Mikołaja Pruzi, Mikołaja Reja, Rynek, Henryka Sienkiewicza, Stary Lubin od 13 do 26, Sudecka, Sybiraków, Świętej Jadwigi, pl. Ratusz, Towarowa, Romualda Traugutta, Tysiąclecia od 4 do końca numery parzyste, Władysława Łokietka, Wrocławska, Wronia, Zamkowa";"021100";1
"dolnośląskie";"lubiński";"Rada Powiatu Lubińskiego";3;3;4;20;14651;11793;"Lubin";"LUBIN: Jana Sebastiana Bacha, Boczna, Borsucza, Olgi Boznańskiej, Braci Gierymskich, Brzeska, Józefa Chełmońskiego, Fryderyka Chopina, Ignacego Domeyki, Gajowa, Grodzieńska, Artura Grottgera, Jagodowa, Jelenia, Jeżynowa, Karola Szymanowskiego, Wojciecha Kilara, Jana Kochanowskiego, Juliusza Kossaka, Kresowa, Krucza, Krzemieniecka, Kwiatowa, Leśna 12, Leśna od 14 do końca, Lisia, Lwowska, Jacka Malczewskiego, Malinowa, Jana Matejki, Piotra Michałowskiego, Stanisława Moniuszki, Niedźwiedzia, Nowogródzka, Józefa Piłsudskiego, Poleska, Ptasia, Przemysłowa, Sarnia, Stanisławowska, Sokola, Generała Stanisława Sosabowskiego, Sowia, Sportowa, Stary Lubin od 1 do 11a, Stary Lubin od 27 do końca, Szpakowa, Tarnopolska, Wiewiórcza, Wilcza, Wileńska, Witolda Lutosławskiego, Wrzosowa, Wołyńska, Leona Wyczółkowskiego, Stanisława Wyspiańskiego, Zajęcza, prof. Józefa Zwierzyckiego, Żytomierska, Żurawia, Jana Pawła II od 1A do 1C";"021100";2
"dolnośląskie";"lubiński";"Rada Powiatu Lubińskiego";4;5;3;21;21589;17851;"Lubin";"LUBIN: Akacjowa, Adama Asnyka, Biedronkowa, Bolesławiecka, Brylantowa, Brzozowa, Budowniczych LGOM, Bukowa, Cedrowa, Cisowa, Dębowa, Diamentowa, Aleksandra Fredry, Grabowa, Granitowa, Górnicza, Gwarków, Hutnicza, Jarosława Iwaszkiewicza, Jana Pawła II od 2 do końca, Jarzębinowa, Jaśminowa, Jaworowa, Jesionowa, Jodłowa, Kalcytowa, Kalinowa, Kamienna, Kasztanowa, Stefana Kisielewskiego, Klonowa, Marii Konopnickiej, Kopalniana, Bolesława Krupińskiego, Leszczynowa, Lipowa, Magnoliowa, Malachitowa, Miedziana, Modrzewiowa, Nefrytowa, Cypriana Kamila Norwida, Olchowa, Onyksowa, Elizy Orzeszkowej, Osiedlowa, Parkowa, Marii Pawlikowskiej-Jasnorzewskiej, Plac Świętej Barbary, Plac Św. Wojciecha, Platanowa, Platynowa, Polna, Władysława Reymonta, Rotmistrza Witolda Pileckiego, Marii Skłodowskiej-Curie od 36 do końca, Juliusza Słowackiego, Srebrna, Stawowa, Sosnowa, Szafirowa, Bolesława Sztukowskiego, Sztygarska, Szybowa, Świętej Barbary, Topolowa, Juliana Tuwima, Wiązowa, Wiertników, Wierzbowa, Wiśniowa, Wójta Henryka, Zacisze, Złota, Stefana Żeromskiego";"021100";2
"dolnośląskie";"lubiński";"Rada Powiatu Lubińskiego";5;4;4;22;17240;13572;"Lubin";"Gmina Lubin";"021100";0
"dolnośląskie";"lubiński";"Rada Powiatu Lubińskiego";6;3;4;20;16697;13527;"Lubin";"Gmina: Rudna, Ścinawa";"021100";0
"dolnośląskie";"lwówecki";"Rada Powiatu Lwóweckiego";1;4;4;17;8558;7255;"Lwówek Śląski";"Gmina i Miasto Gryfów Śląski";"021200";0
"dolnośląskie";"lwówecki";"Rada Powiatu Lwóweckiego";2;6;5;39;15635;12965;"Lwówek Śląski";"Gmina i Miasto Lwówek Śląski";"021200";0
"dolnośląskie";"lwówecki";"Rada Powiatu Lwóweckiego";3;3;4;17;7840;6590;"Lwówek Śląski";"Gmina Mirsk";"021200";0
